Date,Open,High,Low,Close,Change (Pips)
"Dec 31, 2019 00:00",76.15,76.435,76.054,76.25,+10.0
"Dec 30, 2019 00:00",76.241,76.507,76.086,76.154,-8.7
"Dec 27, 2019 00:00",76.146,76.545,76.009,76.466,+32.0
"Dec 26, 2019 00:00",75.647,76.184,75.647,76.164,+51.7
"Dec 24, 2019 00:00",75.711,75.785,75.554,75.678,-3.3
"Dec 23, 2019 00:00",75.398,75.795,75.37,75.723,+32.5
"Dec 20, 2019 00:00",75.301,75.612,75.22,75.526,+22.5
"Dec 19, 2019 00:00",75.072,75.429,75.036,75.291,+21.9
"Dec 18, 2019 00:00",75.005,75.205,74.845,75.107,+10.2
"Dec 17, 2019 00:00",75.411,75.424,74.941,75.02,-39.1
"Dec 16, 2019 00:00",75.205,75.627,75.123,75.432,+22.7
"Dec 13, 2019 00:00",75.493,75.974,74.975,75.183,-31.0
"Dec 12, 2019 00:00",74.644,75.599,74.539,75.524,+88.0
"Dec 11, 2019 00:00",74.024,74.755,73.943,74.66,+63.6
"Dec 10, 2019 00:00",74.063,74.273,73.822,74.059,-0.4
"Dec 09, 2019 00:00",74.185,74.293,73.974,74.056,-12.9
"Dec 06, 2019 00:00",74.316,74.535,74.168,74.274,-4.2
"Dec 05, 2019 00:00",74.547,74.628,74.166,74.312,-23.5
"Dec 04, 2019 00:00",74.38,74.644,73.898,74.562,+18.2
"Dec 03, 2019 00:00",74.299,74.842,74.183,74.4,+10.1
"Dec 02, 2019 00:00",74.106,74.519,74.053,74.306,+20.0
